ID,Location,Price_m,Price,Area,Construction,Parking,Warehouse,Elevator,Floor,Room
"1","گلشهر","8.5","680.0","80","1396","X","OK","OK","۱ از ۵","۲"
"2","گلشهر","8.909","980.0","110","1398","OK","OK","OK","۳ از ۵","۲"
"3","گلشهر","10.341","879.0","85","1395","OK","OK","OK","۵","۲"
"4","گلشهر","8.515","860.0","101","1400","OK","OK","OK","۵ از ۵","۲"
"5","گلشهر","8.846","1150.0","130","1400","OK","OK","OK","۷","۲"
"6","گلشهر","10.125","810.0","80","1395","OK","OK","OK","۱","۲"
"7","گلشهر","13.252","1630.0","123","1398","OK","OK","OK","۵ از ۷","۲"
"8","گلشهر","18.846","2450.0","130","1399","OK","OK","OK","۲ از ۵","۳"
"9","گلشهر","9.615","1250.0","130","1396","OK","OK","OK","۵","۲"
"10","گلشهر","17.216","1515.0","88","1395","OK","OK","OK","۳","۲"
"11","گلشهر","10.941","930.0","85","1395","OK","OK","OK","۲","۲"
"12","گلشهر","18.182","1600.0","88","1397","OK","OK","OK","۲","۲"
"13","گلشهر","15.0","1530.0","102","1396","X","X","OK","۴ از ۴","۲"
"14","گلشهر","12.119","1430.0","118","1400","OK","OK","OK","۴ از ۵","۲"
"15","گلشهر","9.882","840.0","85","1399","OK","OK","OK","۷","۲"
"16","گلشهر","11.991","1319.0","110","1400","OK","OK","OK","همکف","۲"
"17","گلشهر","17.0","2550.0","150","1399","OK","OK","OK","۱ از ۵","۳"
"18","گلشهر","22.5","3150.0","140","1400","OK","OK","OK","۱ از ۴","۳"
"19","گلشهر","15.25","3050.0","200","1400","OK","OK","OK","۵","۴"
"20","گلشهر","11.909","1310.0","110","1400","OK","OK","OK","۳","۲"
"21","گلشهر","12.644","1100.0","87","1400","OK","OK","OK","۴ از ۶","۲"
"22","گلشهر","10.435","1200.0","115","1398","OK","OK","OK","۶","۲"
"23","گلشهر","9.839","610.0","62","1398","OK","X","OK","۴","۱"
"24","گلشهر","6.815","920.0","135","1400","OK","OK","OK","۲","۲"
"25","گلشهر","12.0","1320.0","110","1400","OK","OK","OK","۱ از ۶","۲"
"26","گلشهر","14.615","950.0","65","1396","X","X","OK","۲ از ۳","۱"
"27","گلشهر","13.474","1280.0","95","1399","OK","OK","OK","۳ از ۵","۲"
"28","گلشهر","9.388","1380.0","147","1400","OK","OK","OK","۳ از ۷","۲"
"29","گلشهر","14.167","1700.0","120","1400","OK","OK","OK","۴ از ۵","۲"
"30","گلشهر","15.0","1755.0","117","1397","OK","OK","OK","۲ از ۴","۳"
"31","گلشهر","17.368","1650.0","95","1395","OK","OK","OK","۴","۲"
"32","گلشهر","10.176","865.0","85","1395","OK","OK","OK","۴","۲"
"33","گلشهر","12.8","1600.0","125","1400","OK","OK","OK","۵ از ۶","۲"
"34","گلشهر","14.0","1120.0","80","1398","OK","OK","OK","۳","۲"
"35","گلشهر","22.0","3300.0","150","1400","OK","OK","OK","۴ از ۶","۳"
"36","گلشهر","12.0","1200.0","100","1400","OK","OK","OK","۴","۲"
"37","گلشهر","11.0","1452.0","132","1399","OK","OK","OK","۵","۲"
"38","گلشهر","21.0","1995.0","95","1400","OK","OK","OK","۳","۲"
"39","گلشهر","11.053","840.0","76","1399","OK","OK","OK","۵","۲"
"40","گلشهر","10.0","1000.0","100","1395","OK","OK","OK","۴ از ۵","۲"
"41","گلشهر","11.5","1035.0","90","1400","OK","OK","OK","۲","۲"
"42","گلشهر","12.959","1270.0","98","1400","OK","OK","OK","۴","۲"
"43","گلشهر","9.556","860.0","90","1395","OK","OK","OK","۴ از ۵","۲"
"44","گلشهر","10.0","1270.0","127","1399","OK","OK","OK","۳","۲"
"45","گلشهر","11.714","1230.0","105","1399","OK","OK","OK","۲","۲"
"46","گلشهر","9.684","920.0","95","1396","OK","OK","OK","۲ از ۵","۲"
"47","گلشهر","12.598","1600.0","127","1400","OK","OK","OK","۱","۲"
"48","گلشهر","15.982","1790.0","112","1395","OK","OK","OK","۳","۲"
"49","گلشهر","10.667","1600.0","150","1395","OK","OK","OK","۴ از ۶","۲"
"50","گلشهر","10.0","1450.0","145","1400","OK","OK","OK","۳","۲"
